# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
354           	6.787385e-06	6.174240e-06	4.410900e-05
355           	6.595748e-06	6.157293e-06	4.409112e-05
356           	6.118249e-06	6.147405e-06	4.479714e-05
357           	6.644390e-06	6.136799e-06	4.513009e-05
358           	6.680459e-06	6.129681e-06	4.535657e-05
359           	6.647065e-06	6.119924e-06	4.543890e-05
360           	6.157394e-06	6.110306e-06	4.541226e-05
361           	6.350730e-06	6.107750e-06	4.522387e-05
362           	6.309493e-06	6.093106e-06	4.527343e-05
363           	6.107785e-06	6.078592e-06	4.546613e-05
364           	5.886678e-06	6.065669e-06	4.571614e-05
365           	6.127917e-06	6.054561e-06	4.589908e-05
366           	5.783302e-06	6.057198e-06	4.738522e-05
367           	5.980167e-06	6.046517e-06	4.748811e-05
368           	5.783060e-06	6.035578e-06	4.733243e-05
369           	6.034495e-06	6.025217e-06	4.713558e-05
370           	5.853263e-06	6.013952e-06	4.685446e-05
371           	5.799199e-06	6.008788e-06	4.602613e-05
372           	5.927456e-06	6.001739e-06	4.608873e-05
373           	6.188869e-06	5.990862e-06	4.630355e-05
374           	6.024449e-06	5.985281e-06	4.791136e-05
375           	5.912268e-06	5.970503e-06	4.802240e-05
376           	5.875341e-06	5.958391e-06	4.787025e-05
377           	5.771999e-06	5.951905e-06	4.739773e-05
378           	5.672861e-06	5.944607e-06	4.702929e-05
379           	6.178791e-06	5.956180e-06	4.672160e-05
380           	6.233204e-06	5.937734e-06	4.619501e-05
381           	5.721551e-06	5.917628e-06	4.767404e-05
382           	5.919443e-06	5.903701e-06	4.779680e-05
383           	5.921155e-06	5.898566e-06	4.745436e-05
384           	5.763584e-06	5.897713e-06	4.685591e-05
385           	5.929947e-06	5.898504e-06	4.638618e-05
386           	6.159887e-06	5.890712e-06	4.590822e-05
387           	5.794446e-06	5.873828e-06	4.577717e-05
388           	5.707280e-06	5.856980e-06	4.589066e-05
389           	5.550967e-06	5.851654e-06	4.701813e-05
390           	5.878183e-06	5.844580e-06	4.658862e-05
391           	6.206379e-06	5.841596e-06	4.565012e-05
392           	5.920836e-06	5.840940e-06	4.494046e-05
393           	5.864436e-06	5.834128e-06	4.465804e-05
394           	5.754316e-06	5.820936e-06	4.474868e-05
395           	5.571591e-06	5.808715e-06	4.567261e-05
396           	6.101813e-06	5.798845e-06	4.536128e-05
397           	5.788851e-06	5.793834e-06	4.469372e-05
398           	6.233414e-06	5.793659e-06	4.425784e-05
399           	5.968371e-06	5.792838e-06	4.369725e-05
400           	5.970137e-06	5.785300e-06	4.353933e-05
401           	5.702340e-06	5.773360e-06	4.355546e-05
402           	5.594392e-06	5.763834e-06	4.335990e-05
403           	5.688888e-06	5.762557e-06	4.364320e-05
404           	5.861572e-06	5.759555e-06	4.339285e-05
405           	5.548413e-06	5.753266e-06	4.305531e-05
406           	5.398215e-06	5.746017e-06	4.259190e-05
407           	5.428794e-06	5.749140e-06	4.205982e-05
408           	5.354138e-06	5.743108e-06	4.191236e-05
409           	5.307654e-06	5.734132e-06	4.188630e-05
410           	5.248332e-06	5.727710e-06	4.246605e-05
411           	5.558392e-06	5.725797e-06	4.221488e-05
412           	5.442767e-06	5.723899e-06	4.177033e-05
413           	5.670292e-06	5.720557e-06	4.113262e-05
414           	5.710795e-06	5.720328e-06	4.092601e-05
415           	5.367233e-06	5.711687e-06	4.086921e-05
416           	5.346999e-06	5.704044e-06	4.074384e-05
417           	5.506985e-06	5.704071e-06	4.191602e-05
418           	5.473577e-06	5.699984e-06	4.137206e-05
419           	5.581057e-06	5.699726e-06	4.000006e-05
420           	5.473446e-06	5.693175e-06	3.971447e-05
421           	5.190646e-06	5.686339e-06	3.954957e-05
422           	5.316566e-06	5.681972e-06	3.973894e-05
423           	5.526791e-06	5.680253e-06	4.008170e-05
424           	5.458685e-06	5.679481e-06	4.035375e-05
425           	5.500011e-06	5.675223e-06	4.001677e-05
426           	5.408290e-06	5.668425e-06	3.950622e-05
427           	5.638032e-06	5.670205e-06	3.876857e-05
428           	5.392041e-06	5.666293e-06	3.902657e-05
429           	5.371023e-06	5.659928e-06	3.934783e-05
430           	5.517284e-06	5.654360e-06	3.911597e-05
431           	5.409621e-06	5.653460e-06	3.889047e-05
432           	5.793633e-06	5.649144e-06	3.864728e-05
433           	5.262269e-06	5.644603e-06	3.838851e-05
434           	5.497631e-06	5.650502e-06	3.831065e-05
435           	5.375121e-06	5.642512e-06	3.815200e-05
436           	4.901519e-06	5.637959e-06	3.839256e-05
437           	5.118230e-06	5.633436e-06	3.834462e-05
438           	5.219908e-06	5.630211e-06	3.799927e-05
439           	5.554036e-06	5.626373e-06	3.748778e-05
440           	5.171658e-06	5.622930e-06	3.709453e-05
441           	5.325648e-06	5.621288e-06	3.684869e-05
442           	5.366890e-06	5.618756e-06	3.692935e-05
443           	5.228191e-06	5.612894e-06	3.698022e-05
444           	5.030131e-06	5.608530e-06	3.665935e-05
445           	4.913744e-06	5.609907e-06	3.694869e-05
446           	4.876194e-06	5.606342e-06	3.668700e-05
447           	4.858963e-06	5.601128e-06	3.609941e-05
448           	4.660635e-06	5.596775e-06	3.556580e-05
449           	4.698464e-06	5.592738e-06	3.535091e-05
450           	4.899436e-06	5.592285e-06	3.532911e-05
451           	5.147816e-06	5.589212e-06	3.502644e-05
452           	5.010921e-06	5.584395e-06	3.493531e-05
453           	4.675207e-06	5.580731e-06	3.500258e-05
454           	4.896918e-06	5.577271e-06	3.480120e-05
455           	4.949466e-06	5.576074e-06	3.453530e-05
456           	4.603424e-06	5.574772e-06	3.422911e-05
457           	4.572682e-06	5.570606e-06	3.403535e-05
458           	4.455616e-06	5.565393e-06	3.374498e-05
459           	4.926989e-06	5.561656e-06	3.341014e-05
460           	4.785004e-06	5.561126e-06	3.331835e-05
461           	4.567318e-06	5.557581e-06	3.328189e-05
462           	4.587391e-06	5.552987e-06	3.310925e-05
463           	4.548575e-06	5.548526e-06	3.277013e-05
464           	4.566588e-06	5.545163e-06	3.255824e-05
465           	4.634399e-06	5.545140e-06	3.236388e-05
466           	4.567074e-06	5.542159e-06	3.208484e-05
467           	4.783815e-06	5.537424e-06	3.178558e-05
468           	4.640605e-06	5.532796e-06	3.153774e-05
469           	4.718758e-06	5.530408e-06	3.163719e-05
470           	4.840122e-06	5.526399e-06	3.137009e-05
471           	4.635523e-06	5.523233e-06	3.098590e-05
472           	4.796820e-06	5.522110e-06	3.065448e-05
473           	4.596537e-06	5.519038e-06	3.060500e-05
474           	4.971345e-06	5.513163e-06	3.032929e-05
475           	4.675531e-06	5.508421e-06	3.002211e-05
476           	4.669328e-06	5.504868e-06	2.995096e-05
477           	4.747026e-06	5.502359e-06	2.973378e-05
478           	4.989841e-06	5.499786e-06	2.945188e-05
479           	4.860579e-06	5.496816e-06	2.917858e-05
480           	4.688291e-06	5.493926e-06	2.903059e-05
481           	4.692289e-06	5.489375e-06	2.875447e-05
482           	4.753487e-06	5.484680e-06	2.847808e-05
483           	4.658627e-06	5.480496e-06	2.824297e-05
484           	4.803924e-06	5.477718e-06	2.820639e-05
485           	4.755280e-06	5.475694e-06	2.810563e-05
486           	4.708307e-06	5.470939e-06	2.779308e-05
487           	4.890494e-06	5.466617e-06	2.743547e-05
488           	4.721364e-06	5.463237e-06	2.687365e-05
489           	4.728174e-06	5.459353e-06	2.667027e-05
490           	4.742729e-06	5.455746e-06	2.658057e-05
491           	4.583121e-06	5.452786e-06	2.652860e-05
492           	4.508454e-06	5.448244e-06	2.626430e-05
493           	4.677207e-06	5.444269e-06	2.605567e-05
494           	4.519313e-06	5.440685e-06	2.585425e-05
495           	4.688810e-06	5.437217e-06	2.571821e-05
496           	4.415178e-06	5.433184e-06	2.549794e-05
497           	4.507879e-06	5.428999e-06	2.526027e-05
498           	4.552070e-06	5.425712e-06	2.492213e-05
499           	4.554924e-06	5.422053e-06	2.466618e-05
500           	4.533114e-06	5.418663e-06	2.430993e-05
501           	4.599065e-06	5.414512e-06	2.408431e-05
502           	4.526090e-06	5.410254e-06	2.387745e-05
503           	4.438575e-06	5.406471e-06	2.399341e-05
504           	4.529194e-06	5.402552e-06	2.377677e-05
505           	4.415034e-06	5.398455e-06	2.355268e-05
506           	4.250021e-06	5.394858e-06	2.328697e-05
507           	4.048804e-06	5.391387e-06	2.304150e-05
508           	4.103655e-06	5.387237e-06	2.275969e-05
509           	4.170782e-06	5.383067e-06	2.250131e-05
510           	4.118520e-06	5.379799e-06	2.229482e-05
511           	4.267733e-06	5.375749e-06	2.208307e-05
512           	4.149521e-06	5.371007e-06	2.183542e-05
513           	4.202602e-06	5.366728e-06	2.161790e-05
