# y+ ()       
# Time        	patch         	min           	max           	average       
1200          	wall-h2	1.734816e+01	2.287354e+01	1.949055e+01
1200          	airfoil-h2	3.686728e-02	8.821440e-02	6.735193e-02
1200          	wall-h1	1.649941e+01	1.734164e+01	1.694337e+01
1200          	airfoil-h1	3.265767e-02	1.024195e-01	9.153858e-02
1250          	airfoil-l1	4.044421e-02	1.030180e-01	9.102870e-02
1250          	wall-l1	1.625149e+01	1.707523e+01	1.668597e+01
1250          	airfoil-l2	3.701559e-02	8.661032e-02	6.723219e-02
1250          	wall-l2	1.708154e+01	2.226316e+01	1.911467e+01
1250          	wall-h2	1.735999e+01	2.290341e+01	1.950754e+01
1250          	airfoil-h2	3.673653e-02	8.819897e-02	6.726437e-02
1250          	wall-h1	1.651184e+01	1.735347e+01	1.695546e+01
1250          	airfoil-h1	3.266818e-02	1.024209e-01	9.154151e-02
1300          	airfoil-l1	4.043524e-02	1.030130e-01	9.101867e-02
1300          	wall-l1	1.624706e+01	1.707508e+01	1.668396e+01
1300          	airfoil-l2	3.689455e-02	8.658751e-02	6.714907e-02
1300          	wall-l2	1.708141e+01	2.225782e+01	1.911363e+01
1300          	wall-h2	1.737361e+01	2.293385e+01	1.952650e+01
1300          	airfoil-h2	3.662073e-02	8.818727e-02	6.718805e-02
1300          	wall-h1	1.652237e+01	1.736711e+01	1.696849e+01
1300          	airfoil-h1	3.267907e-02	1.024224e-01	9.154433e-02
1350          	airfoil-l1	4.042605e-02	1.030088e-01	9.101033e-02
1350          	wall-l1	1.624435e+01	1.707247e+01	1.668040e+01
1350          	airfoil-l2	3.678652e-02	8.656849e-02	6.707595e-02
1350          	wall-l2	1.707880e+01	2.225168e+01	1.911075e+01
1350          	wall-h2	1.738787e+01	2.296125e+01	1.954450e+01
1350          	airfoil-h2	3.651840e-02	8.817849e-02	6.712161e-02
1350          	wall-h1	1.653445e+01	1.738135e+01	1.698153e+01
1350          	airfoil-h1	3.269024e-02	1.024241e-01	9.154700e-02
